key,fare_amount
2015-01-27 13:08:24.0000002,10.12
2015-01-27 13:08:24.0000003,11.16
2011-10-08 11:53:44.0000002,4.42
2012-12-01 21:12:12.0000002,8.85
2012-12-01 21:12:12.0000003,16.21
2012-12-01 21:12:12.0000005,10.24
2011-10-06 12:10:20.0000001,4.97
2011-10-06 12:10:20.0000003,49.37
2011-10-06 12:10:20.0000002,11.42
2014-02-18 15:22:20.0000002,6.69
2014-02-18 15:22:20.0000003,10.18
2014-02-18 15:22:20.0000001,18.83
2010-03-29 20:20:32.0000002,3.99
2010-03-29 20:20:32.0000001,6.68
2011-10-06 03:59:12.0000002,7.6
2011-10-06 03:59:12.0000001,10.23
2012-07-15 16:45:04.0000006,3.86
2012-07-15 16:45:04.0000002,8.92
2012-07-15 16:45:04.0000003,4.61
2012-07-15 16:45:04.0000004,4.19
2014-10-29 02:09:56.0000001,7.33
2014-06-14 13:39:00.00000010,8.01
2014-06-14 13:39:00.00000060,7.66
2014-06-14 13:39:00.00000087,8.75
2014-06-14 13:39:00.00000050,18.77
2014-06-14 13:39:00.0000003,6.98
2014-06-14 13:39:00.000000158,35.45
2014-06-14 13:39:00.00000015,25.35
2014-06-14 13:39:00.00000073,5.85
2014-06-14 13:39:00.00000077,16.63
2014-06-14 13:39:00.000000145,9.28
2014-06-14 13:39:00.00000079,6.25
2014-06-14 13:39:00.000000121,5.29
2014-06-14 13:39:00.00000021,11.96
2014-06-14 13:39:00.0000005,8.7
2014-06-14 13:39:00.000000165,7.08
2014-06-14 13:39:00.000000184,5.99
2014-06-14 13:39:00.00000059,6.37
2014-06-14 13:39:00.00000070,8.04
2014-06-14 13:39:00.00000068,4.72
2014-06-14 13:39:00.000000133,19.11
2014-06-14 13:39:00.000000128,10.39
2014-06-14 13:39:00.000000136,20.25
2014-06-14 13:39:00.00000017,11.51
2014-06-14 13:39:00.000000111,5.69
2014-06-14 13:39:00.000000115,12.68
2014-06-14 13:39:00.000000168,6.04
2014-06-14 13:39:00.00000031,6.75
2014-06-14 13:39:00.000000116,6.34
2014-06-14 13:39:00.00000051,5.08
2014-06-14 13:39:00.000000193,13.02
2014-06-14 13:39:00.000000132,14.14
2014-06-14 13:39:00.000000167,22.22
2014-06-14 13:39:00.00000044,6.22
2014-06-14 13:39:00.000000138,7.5
2014-06-14 13:39:00.00000066,15.97
2014-06-14 13:39:00.00000063,11.01
2014-06-14 13:39:00.000000154,12.09
2014-06-14 13:39:00.00000097,14.58
2014-06-14 13:39:00.00000067,14.34
2014-06-14 13:39:00.000000179,7.05
2014-06-14 13:39:00.00000092,11.04
2014-06-14 13:39:00.00000029,5.58
2014-06-14 13:39:00.000000177,5.9
2014-06-14 13:39:00.000000192,7.4
2014-06-14 13:39:00.000000181,6.19
2014-06-14 13:39:00.000000120,11.36
2014-06-14 13:39:00.0000008,5.48
2014-06-14 13:39:00.000000103,4.78
2014-06-14 13:39:00.00000049,18.06
2014-06-14 13:39:00.000000108,7.84
2014-06-14 13:39:00.00000072,5.39
2014-06-14 13:39:00.000000182,13.12
2014-06-14 13:39:00.00000061,6.62
2014-06-14 13:39:00.00000093,9.5
2014-06-14 13:39:00.000000170,13.07
2014-06-14 13:39:00.000000147,50.24
2014-06-14 13:39:00.000000140,4.83
2014-06-14 13:39:00.000000159,4.57
2014-06-14 13:39:00.00000012,4.89
2014-06-14 13:39:00.00000025,7.01
2014-06-14 13:39:00.000000156,5.89
2014-06-14 13:39:00.000000152,8.4
2014-06-14 13:39:00.000000129,10.39
2014-06-14 13:39:00.000000119,19.89
2014-06-14 13:39:00.000000118,5.67
2014-06-14 13:39:00.00000076,4.88
2014-06-14 13:39:00.000000135,7.43
2014-06-14 13:39:00.00000023,22.1
2014-06-14 13:39:00.00000082,10.31
2014-06-14 13:39:00.000000125,11.95
2014-06-14 13:39:00.00000075,10.33
2014-06-14 13:39:00.000000124,7.05
2014-06-14 13:39:00.000000172,6.7
2014-06-14 13:39:00.00000024,15.49
2014-06-14 13:39:00.000000169,14.93
2014-06-14 13:39:00.00000052,11.62
2014-06-14 13:39:00.000000161,14.11
2014-06-14 13:39:00.00000038,8.49
2014-06-14 13:39:00.00000035,11.62
2014-06-14 13:39:00.00000053,13.08
2014-06-14 13:39:00.000000183,6.6
2014-06-14 13:39:00.000000131,56.45
2014-06-14 13:39:00.000000180,7.91
2014-06-14 13:39:00.000000130,5.91
